# target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc
GVMAG-S-1096109-37|1096109_contig_156_24	-	442	COG0086	-	1133	8.38e-13	38.2	0.0	1	3	1.35e-11	8.48e-10	28.3	0.0	854	908	68	121	62	134	0.90
GVMAG-S-1096109-37|1096109_contig_156_24	-	442	COG0086	-	1133	8.38e-13	38.2	0.0	2	3	1.23e-04	7.69e-03	5.2	0.0	972	992	308	328	305	328	0.90
GVMAG-S-1096109-37|1096109_contig_156_24	-	442	COG0086	-	1133	8.38e-13	38.2	0.0	3	3	2.45e-03	1.54e-01	0.9	0.0	1076	1118	373	415	372	416	0.90
GVMAG-S-1096109-37|1096109_contig_370_18	-	86	COG0172	-	423	1.80e-02	4.6	3.9	1	1	1.05e-04	1.97e-02	4.5	3.9	81	103	4	26	2	27	0.90
GVMAG-S-1096109-37|1096109_contig_460_11	-	535	COG0519	-	507	2.36e-03	7.5	1.5	1	1	1.62e-05	3.04e-03	7.2	1.5	219	236	250	267	250	267	0.90
GVMAG-S-1096109-37|1096109_contig_575_4	-	197	OG1091	-	179	4.47e-14	46.0	0.0	1	1	2.99e-16	5.63e-14	45.7	0.0	22	179	10	166	3	167	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG1419	-	227	3.03e-07	23.3	0.1	1	2	7.47e-05	1.40e-02	8.1	0.0	154	208	106	160	103	177	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG1419	-	227	3.03e-07	23.3	0.1	2	2	2.23e-06	4.19e-04	13.0	0.0	162	195	268	300	262	309	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG1590	-	538	5.46e-09	28.5	0.0	1	1	5.81e-11	1.09e-08	27.5	0.0	80	217	59	199	9	206	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG1626	-	283	2.14e-06	20.8	2.0	1	1	1.68e-08	3.16e-06	20.2	2.0	3	47	93	139	92	172	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG2196	-	165	1.91e-10	34.4	7.1	1	3	2.37e-04	4.45e-02	7.2	0.1	4	45	5	44	3	67	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG2196	-	165	1.91e-10	34.4	7.1	2	3	2.28e-07	4.28e-05	17.0	0.2	26	74	59	109	51	135	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG2196	-	165	1.91e-10	34.4	7.1	3	3	2.42e-06	4.55e-04	13.7	0.6	115	149	181	215	143	219	0.90
GVMAG-S-1096109-37|1096109_contig_460_9	-	474	OG68	-	328	1.03e-25	84.4	2.7	1	2	1.02e-08	9.57e-07	22.1	0.0	91	142	29	82	5	109	0.90
GVMAG-S-1096109-37|1096109_contig_460_9	-	474	OG68	-	328	1.03e-25	84.4	2.7	2	2	1.95e-20	1.83e-18	60.6	2.1	241	318	254	338	237	340	0.90
GVMAG-S-1096109-37|1096109_contig_156_7	-	531	OG68	-	328	5.25e-16	52.5	2.7	1	3	5.65e-08	5.31e-06	19.6	0.0	91	163	38	119	15	129	0.90
GVMAG-S-1096109-37|1096109_contig_156_7	-	531	OG68	-	328	5.25e-16	52.5	2.7	2	3	3.45e-01	3.24e+01	-2.7	0.0	169	209	144	186	140	197	0.90
GVMAG-S-1096109-37|1096109_contig_156_7	-	531	OG68	-	328	5.25e-16	52.5	2.7	3	3	2.46e-11	2.32e-09	30.7	1.9	273	304	342	381	331	384	0.90
GVMAG-S-1096109-37|1096109_contig_370_18	-	86	OG10163	-	122	5.29e-04	13.9	0.2	1	1	3.26e-06	6.12e-04	13.7	0.2	55	105	4	54	2	61	0.90
GVMAG-S-1096109-37|1096109_contig_460_12	-	157	OG1026	-	160	9.11e-44	142.6	6.4	1	1	5.33e-46	1.00e-43	142.4	6.4	2	159	2	156	2	157	0.90
GVMAG-S-1096109-37|1096109_contig_155_8	-	324	OG1035	-	272	2.44e-90	296.3	0.1	1	1	1.51e-92	2.84e-90	296.1	0.1	3	270	8	317	7	320	0.90
GVMAG-S-1096109-37|1096109_contig_575_3	-	182	OG1050	-	166	2.93e-05	17.1	0.8	1	2	5.37e-06	1.01e-03	12.1	0.0	57	74	62	79	27	83	0.90
GVMAG-S-1096109-37|1096109_contig_575_3	-	182	OG1050	-	166	2.93e-05	17.1	0.8	2	2	2.00e-03	3.75e-01	3.7	0.2	95	123	112	140	99	152	0.90
GVMAG-S-1096109-37|1096109_contig_153_7	-	1384	OG1055	-	1161	1.16e-49	162.5	53.9	1	5	1.39e-04	2.62e-02	5.6	2.5	166	219	120	174	8	201	0.90
GVMAG-S-1096109-37|1096109_contig_153_7	-	1384	OG1055	-	1161	1.16e-49	162.5	53.9	2	5	2.14e-07	4.02e-05	15.0	11.1	253	470	270	488	242	493	0.90
GVMAG-S-1096109-37|1096109_contig_153_7	-	1384	OG1055	-	1161	1.16e-49	162.5	53.9	3	5	5.63e-06	1.06e-03	10.2	3.3	464	571	516	636	514	659	0.90
GVMAG-S-1096109-37|1096109_contig_153_7	-	1384	OG1055	-	1161	1.16e-49	162.5	53.9	4	5	1.69e-02	3.18e+00	-1.3	2.3	198	242	627	682	624	764	0.90
GVMAG-S-1096109-37|1096109_contig_153_7	-	1384	OG1055	-	1161	1.16e-49	162.5	53.9	5	5	3.26e-49	6.12e-47	153.4	8.2	562	1085	768	1272	752	1280	0.90
GVMAG-S-1096109-37|1096109_contig_156_23	-	131	OG1063	-	126	4.30e-12	39.4	0.1	1	1	1.31e-13	6.18e-12	38.9	0.1	21	109	20	103	16	121	0.90
GVMAG-S-1096109-37|1096109_contig_153_9	-	184	OG1063	-	126	5.14e-12	39.2	0.1	1	1	1.67e-13	7.83e-12	38.6	0.1	8	124	5	118	2	121	0.90
GVMAG-S-1096109-37|1096109_contig_1169_6	-	128	OG1063	-	126	6.58e-10	32.4	0.0	1	1	1.78e-11	8.35e-10	32.0	0.0	21	110	16	97	6	113	0.90
GVMAG-S-1096109-37|1096109_contig_155_16	-	171	OG1063	-	126	5.24e-05	16.5	0.0	1	1	1.81e-06	8.49e-05	15.8	0.0	34	86	90	140	76	152	0.90
GVMAG-S-1096109-37|1096109_contig_155_10	-	185	OG1086	-	147	2.93e-23	75.7	2.1	1	1	4.35e-25	4.09e-23	75.2	2.1	23	137	11	128	3	137	0.90
GVMAG-S-1096109-37|1096109_contig_155_19	-	131	OG1086	-	147	1.39e-16	54.0	0.1	1	1	1.58e-18	1.49e-16	53.9	0.1	27	86	35	94	4	128	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG10	-	170	1.28e-11	38.6	4.6	1	2	4.33e-03	8.13e-01	3.4	1.4	12	61	4	50	2	68	0.90
GVMAG-S-1096109-37|1096109_contig_155_4	-	143	OG10	-	170	1.28e-11	38.6	4.6	2	2	2.78e-13	5.23e-11	36.6	0.2	104	170	76	141	53	142	0.90
GVMAG-S-1096109-37|1096109_contig_1169_1	-	342	OG1164	-	546	1.96e-118	389.7	0.7	1	1	4.65e-120	2.18e-118	389.6	0.7	4	341	3	343	2	343	0.90
GVMAG-S-1096109-37|1096109_contig_156_11	-	116	OG1164	-	546	5.40e-10	31.8	7.0	1	1	1.25e-11	5.89e-10	31.7	7.0	357	420	6	74	2	95	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG1164	-	546	3.90e-09	29.0	1.8	1	1	1.02e-10	4.80e-09	28.7	1.8	354	407	90	145	78	170	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG1164	-	546	5.52e-06	18.6	1.9	1	2	2.48e-03	1.17e-01	4.3	0.2	92	128	111	147	90	172	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	OG1164	-	546	5.52e-06	18.6	1.9	2	2	3.23e-06	1.52e-04	13.8	0.1	421	480	277	336	246	380	0.90
GVMAG-S-1096109-37|1096109_contig_1116_8	-	168	OG1180	-	165	1.10e-49	161.9	0.1	1	1	6.46e-52	1.21e-49	161.8	0.1	2	165	2	167	2	168	0.90
GVMAG-S-1096109-37|1096109_contig_1116_2	-	191	OG11	-	318	2.27e-04	14.1	0.7	1	1	1.50e-06	2.82e-04	13.8	0.7	18	81	55	117	16	144	0.90
GVMAG-S-1096109-37|1096109_contig_460_14	-	172	OG1204	-	171	1.23e-52	171.4	1.3	1	1	7.24e-55	1.36e-52	171.2	1.3	2	171	2	172	2	172	0.90
GVMAG-S-1096109-37|1096109_contig_1116_4	-	122	OG1217	-	126	1.53e-42	138.1	2.4	1	1	8.74e-45	1.64e-42	138.0	2.4	4	124	5	119	2	122	0.90
GVMAG-S-1096109-37|1096109_contig_155_21	-	231	OG122	-	221	1.34e-76	250.3	0.4	1	1	2.93e-78	5.51e-76	248.2	0.4	4	214	5	228	2	231	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG1242	-	360	1.27e-26	86.6	0.2	1	2	1.46e-20	2.75e-18	59.2	0.2	30	102	34	106	23	109	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG1242	-	360	1.27e-26	86.6	0.2	2	2	3.11e-10	5.84e-08	25.2	0.0	203	258	110	164	107	169	0.90
GVMAG-S-1096109-37|1096109_contig_1116_16	-	103	OG1269	-	105	5.32e-30	97.7	0.2	1	1	3.15e-32	5.92e-30	97.5	0.2	6	104	2	102	2	103	0.90
GVMAG-S-1096109-37|1096109_contig_580_16	-	234	OG130	-	274	2.27e-16	53.5	4.9	1	1	1.62e-18	3.05e-16	53.1	4.9	18	163	55	188	42	200	0.90
GVMAG-S-1096109-37|1096109_contig_460_15	-	142	OG1340	-	360	1.21e-04	14.5	0.4	1	1	6.93e-07	1.30e-04	14.4	0.4	131	195	53	114	5	127	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG1352	-	535	6.42e-14	44.8	0.3	1	3	4.06e-12	7.63e-10	31.4	0.0	81	184	58	167	53	181	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG1352	-	535	6.42e-14	44.8	0.3	2	3	6.89e-06	1.30e-03	10.8	0.0	227	271	181	225	175	266	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	OG1352	-	535	6.42e-14	44.8	0.3	3	3	4.76e-02	8.96e+00	-1.8	0.2	498	515	480	497	424	570	0.90
GVMAG-S-1096109-37|1096109_contig_580_16	-	234	OG1357	-	357	2.62e-09	30.3	6.2	1	1	1.98e-11	3.72e-09	29.8	6.2	18	165	55	189	45	196	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG1395	-	1104	4.93e-47	154.0	20.9	1	4	7.57e-10	1.42e-07	23.4	0.0	14	95	20	87	10	104	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG1395	-	1104	4.93e-47	154.0	20.9	2	4	3.08e-16	5.79e-14	44.5	0.2	230	373	160	327	107	393	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG1395	-	1104	4.93e-47	154.0	20.9	3	4	3.02e-32	5.67e-30	97.5	5.0	528	866	415	804	407	843	0.90
GVMAG-S-1096109-37|1096109_contig_156_14	-	1029	OG1395	-	1104	4.93e-47	154.0	20.9	4	4	4.29e-01	8.06e+01	-5.6	2.4	844	893	920	969	885	1001	0.90
GVMAG-S-1096109-37|1096109_contig_575_12	-	202	OG14	-	306	3.45e-06	19.8	0.0	1	1	2.72e-08	5.10e-06	19.3	0.0	65	122	10	64	5	89	0.90
GVMAG-S-1096109-37|1096109_contig_153_14	-	227	OG1537	-	349	2.37e-01	4.3	22.0	1	1	1.69e-03	3.17e-01	3.9	22.0	235	330	32	124	9	159	0.90
GVMAG-S-1096109-37|1096109_contig_460_15	-	142	OG15	-	347	7.72e-09	28.8	2.7	1	1	4.45e-11	8.37e-09	28.7	2.7	8	110	11	118	2	131	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	OG1614	-	359	2.55e-21	69.4	19.8	1	1	1.73e-23	3.26e-21	69.1	19.8	29	308	15	328	3	343	0.90
GVMAG-S-1096109-37|1096109_contig_156_11	-	116	OG16493	-	244	3.44e-08	26.7	10.4	1	1	1.06e-09	9.98e-08	25.1	10.4	180	236	4	58	2	63	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG16493	-	244	1.06e-06	21.8	10.7	1	1	2.05e-08	1.92e-06	20.9	10.7	179	234	90	140	54	150	0.90
GVMAG-S-1096109-37|1096109_contig_460_8	-	352	OG169	-	326	1.40e-107	353.3	0.1	1	1	8.29e-110	1.56e-107	353.2	0.1	2	321	2	346	2	352	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG1709	-	187	2.93e-20	66.5	7.5	1	2	5.65e-07	5.31e-05	16.7	1.4	59	91	84	116	49	141	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	OG1709	-	187	2.93e-20	66.5	7.5	2	2	3.35e-18	3.15e-16	53.3	0.5	92	176	160	245	153	253	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG1709	-	187	4.37e-20	65.9	7.3	1	2	1.18e-05	1.11e-03	12.4	3.0	60	93	81	114	42	133	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	OG1709	-	187	4.37e-20	65.9	7.3	2	2	8.66e-19	8.14e-17	55.3	0.1	94	177	158	239	146	248	0.90
GVMAG-S-1096109-37|1096109_contig_155_10	-	185	OG17	-	143	6.74e-19	61.7	0.2	1	1	1.12e-20	1.05e-18	61.1	0.2	6	118	24	137	19	145	0.90
GVMAG-S-1096109-37|1096109_contig_155_19	-	131	OG17	-	143	1.50e-12	41.1	0.0	1	1	2.41e-14	2.27e-12	40.5	0.0	4	92	42	129	39	131	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG1821	-	327	8.53e-08	25.1	8.9	1	1	8.15e-10	1.53e-07	24.3	8.9	105	297	83	301	4	309	0.90
GVMAG-S-1096109-37|1096109_contig_153_12	-	331	OG186	-	195	4.90e-07	23.3	5.3	1	2	2.61e-09	4.90e-07	23.3	5.3	12	136	58	183	48	232	0.90
GVMAG-S-1096109-37|1096109_contig_153_12	-	331	OG186	-	195	4.90e-07	23.3	5.3	2	2	4.91e-02	9.22e+00	-0.4	3.3	93	161	220	295	216	330	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG1943	-	223	1.17e-11	38.2	7.5	1	1	8.10e-14	1.52e-11	37.8	7.5	4	218	4	220	2	224	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG19	-	807	6.77e-04	11.5	0.1	1	2	3.19e-02	6.00e+00	-1.5	1.3	520	596	53	110	28	151	0.90
GVMAG-S-1096109-37|1096109_contig_155_22	-	577	OG19	-	807	6.77e-04	11.5	0.1	2	2	3.60e-06	6.77e-04	11.5	0.1	25	63	166	204	144	215	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG203	-	199	3.12e-15	49.9	7.6	1	2	4.72e-05	8.88e-03	9.2	0.0	3	66	4	63	2	67	0.90
GVMAG-S-1096109-37|1096109_contig_155_7	-	224	OG203	-	199	3.12e-15	49.9	7.6	2	2	1.41e-14	2.65e-12	40.3	5.5	42	165	79	215	63	221	0.90
GVMAG-S-1096109-37|1096109_contig_153_9	-	184	OG2081	-	179	3.49e-06	20.4	0.9	1	2	7.71e-08	7.25e-06	19.4	0.9	6	63	34	99	31	158	0.90
GVMAG-S-1096109-37|1096109_contig_153_9	-	184	OG2081	-	179	3.49e-06	20.4	0.9	2	2	1.52e-01	1.42e+01	-1.1	0.3	147	153	132	137	104	172	0.90
GVMAG-S-1096109-37|1096109_contig_156_3	-	223	OG2081	-	179	3.82e-06	20.3	5.0	1	1	1.26e-07	1.18e-05	18.7	5.0	5	89	3	101	2	214	0.90
GVMAG-S-1096109-37|1096109_contig_460_5	-	117	OG22794	-	105	6.47e-08	26.5	5.7	1	1	5.43e-10	1.02e-07	25.8	5.6	30	92	49	111	11	116	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG22	-	424	3.27e-04	13.0	0.5	1	2	1.74e-06	3.27e-04	13.0	0.5	37	58	33	54	22	60	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	OG22	-	424	3.27e-04	13.0	0.5	2	2	1.52e-01	2.86e+01	-3.2	0.1	389	407	88	106	80	110	0.90
GVMAG-S-1096109-37|1096109_contig_155_16	-	171	OG23491	-	138	2.58e-05	18.0	0.0	1	2	2.06e-01	3.88e+01	-2.1	0.0	9	25	5	21	3	37	0.90
GVMAG-S-1096109-37|1096109_contig_155_16	-	171	OG23491	-	138	2.58e-05	18.0	0.0	2	2	3.41e-07	6.41e-05	16.7	0.0	69	137	95	168	88	170	0.90
GVMAG-S-1096109-37|1096109_contig_575_9	-	212	OG2350	-	209	2.26e-12	40.4	0.0	1	1	2.89e-14	5.44e-12	39.2	0.0	97	202	103	207	2	209	0.90
GVMAG-S-1096109-37|1096109_contig_153_15	-	898	OG238	-	371	1.62e-12	40.5	1.5	1	1	2.35e-14	4.42e-12	39.0	1.5	14	200	16	223	3	250	0.90
GVMAG-S-1096109-37|1096109_contig_153_14	-	227	OG24	-	1714	2.25e-02	5.6	16.8	1	1	1.24e-04	2.32e-02	5.6	16.8	597	671	29	127	19	208	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG25875	-	744	6.01e-33	107.5	1.8	1	2	4.80e-02	4.51e+00	-1.2	0.0	195	263	181	246	163	253	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	OG25875	-	744	6.01e-33	107.5	1.8	2	2	1.67e-34	1.57e-32	106.1	1.3	308	588	276	562	266	574	0.90
GVMAG-S-1096109-37|1096109_contig_575_6	-	493	OG25875	-	744	2.47e-07	22.8	0.2	1	1	6.41e-09	6.03e-07	21.5	0.2	607	685	17	112	14	124	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	OG25876	-	308	4.95e-24	78.8	8.8	1	1	2.78e-26	5.23e-24	78.7	7.9	11	307	50	366	44	368	0.90
GVMAG-S-1096109-37|1096109_contig_370_5	-	175	OG2605	-	195	1.32e-13	44.3	0.9	1	1	2.45e-15	1.53e-13	44.1	0.9	123	184	83	140	38	153	0.90
GVMAG-S-1096109-37|1096109_contig_156_11	-	116	OG2605	-	195	2.31e-07	24.0	6.7	1	1	5.82e-09	3.65e-07	23.3	6.7	131	189	4	61	2	75	0.90
GVMAG-S-1096109-37|1096109_contig_370_8	-	202	OG2605	-	195	9.21e-05	15.5	7.4	1	1	2.28e-06	1.43e-04	14.9	7.4	133	187	4	63	2	84	0.90
GVMAG-S-1096109-37|1096109_contig_156_3	-	223	OG27	-	189	5.60e-09	30.0	1.2	1	1	6.91e-11	1.30e-08	28.8	1.2	2	107	2	97	2	110	0.90
GVMAG-S-1096109-37|1096109_contig_155_15	-	953	OG2843	-	203	2.51e-05	17.2	0.7	1	2	5.05e-06	4.75e-04	13.0	0.1	29	71	4	46	2	51	0.90
GVMAG-S-1096109-37|1096109_contig_155_15	-	953	OG2843	-	203	2.51e-05	17.2	0.7	2	2	1.85e-02	1.74e+00	1.3	0.1	74	167	820	924	812	947	0.90
GVMAG-S-1096109-37|1096109_contig_155_18	-	1202	OG2843	-	203	3.62e-04	13.4	0.8	1	2	1.03e-03	9.71e-02	5.4	0.1	40	65	5	30	2	36	0.90
GVMAG-S-1096109-37|1096109_contig_155_18	-	1202	OG2843	-	203	3.62e-04	13.4	0.8	2	2	6.69e-04	6.29e-02	6.1	0.1	73	168	1068	1174	1046	1201	0.90
GVMAG-S-1096109-37|1096109_contig_802_10	-	1000	OG28774	-	192	3.09e-01	4.2	33.9	1	2	2.06e-01	3.88e+01	-2.6	0.9	2	193	15	65	15	65	0.90
GVMAG-S-1096109-37|1096109_contig_802_10	-	250	OG28774	-	192	3.09e-01	4.2	33.9	2	2	1.99e-05	3.73e-03	10.5	26.0	135	168	141	174	134	205	0.90
GVMAG-S-1096109-37|1096109_contig_155_19	-	131	OG28775	-	306	3.94e-07	23.1	0.8	1	1	4.44e-09	4.17e-07	23.0	0.8	134	214	42	129	10	131	0.90
GVMAG-S-1096109-37|1096109_contig_155_10	-	185	OG28775	-	306	5.52e-05	16.0	4.2	1	1	8.64e-07	8.12e-05	15.5	4.2	137	209	25	106	3	115	0.90
GVMAG-S-1096109-37|1096109_contig_153_5	-	172	OG287	-	98	5.32e-36	116.3	5.9	1	1	5.39e-38	1.01e-35	115.4	5.9	4	97	29	165	27	167	0.90
GVMAG-S-1096109-37|1096109_contig_156_5	-	315	OG295	-	269	1.21e-11	37.9	2.8	1	2	3.85e-09	7.23e-07	22.2	0.9	54	189	80	214	74	227	0.90
