marker_id	majority_annotation	majority_count	total_proteins
1057950at2759	MEMO1 family [PFAM:Memo-like protein]	4998	11111
1079130at2759	Glycosyl transferase, family 4 [PFAM:Glycosyl transferase family 4]	7498	24260
1079827at2759	Small ribosomal subunit protein eS8 [PFAM:Ribosomal protein S8e]	363	1612
1090038at2759	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL) [PFAM:Biotin/lipoate A/B protein ligase family]	1868	10218
1106766at2759	consensus disorder prediction	198	1017
1111142at2759	consensus disorder prediction	301	1395
1157302at2759	Translation initiation factor IF6 [PFAM:eIF-6 family]	774	1850
1161199at2759	consensus disorder prediction	302	2262
1178688at2759	ATPase, OSCP/delta subunit [PFAM:ATP synthase delta (OSCP) subunit]	8952	15959
1193442at2759	Bystin [PFAM:Bystin]	248	864
1194691at2759	consensus disorder prediction	481	1991
1197019at2759	consensus disorder prediction	273	1650
1200489at2759	S1 domain [PFAM:S1 RNA binding domain]	657	4186
1220881at2759	TFIIH subunit Tfb4/GTF2H3 [PFAM:Transcription factor Tfb4]	280	791
1222562at2759	16S/18S rRNA aminocarboxypropyltransferase Tsr3 [PFAM:Possible Fer4-like domain in RNase L inhibitor, RLI;Ribosome biogenesis protein, C-terminal]	412	1363
1236198at2759	consensus disorder prediction	193	1136
1249159at2759	consensus disorder prediction	201	1143
1260807at2759	Protohaem IX farnesyltransferase [PFAM:UbiA prenyltransferase family]	3945	12466
1275837at2759	consensus disorder prediction	545	2698
1284731at2759	consensus disorder prediction	195	1574
1291729at2759	consensus disorder prediction	145	955
1309031at2759	consensus disorder prediction	484	2403
1322299at2759	consensus disorder prediction	312	1141
1338131at2759	VapC9 PIN-like domain [PFAM:PIN like domain]	409	2912
1346165at2759	DNA primase, small subunit [PFAM:DNA primase small subunit]	471	3170
1346432at2759	Small-subunit processome, Utp11 [PFAM:Utp11 protein]	339	938
1348942at2759	TAP46-like protein [PFAM:TAP42-like family]	326	1444
1380409at2759	NFACT, RNA-binding domain [PFAM:NFACT N-terminal and middle domains;NFACT protein RNA binding domain]	1599	5109
1382842at2759	consensus disorder prediction	211	1735
1423847at2759	RNA 3'-terminal phosphate cyclase [PFAM:RNA 3'-terminal phosphate cyclase;RNA 3'-terminal phosphate cyclase (RTC), insert domain]	311	2587
1430056at2759	S1 domain [PFAM:S1 RNA binding domain;SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397]	310	2338
1432328at2759	consensus disorder prediction	278	1094
1434266at2759	consensus disorder prediction	249	1879
1455730at2759	consensus disorder prediction	264	1045
1488436at2759	RPB6/omega subunit-like superfamily [PFAM:RNA polymerase Rpb6]	1412	3522
1504863at2759	Trafficking protein particle complex subunit [PFAM:Sybindin-like family]	302	1058
1530008at2759	consensus disorder prediction	213	2159
1552706at2759	Signal recognition particle, subunit SRP19-like superfamily [PFAM:SRP19 protein]	430	1538
1567796at2759	Prefoldin alpha-like [PFAM:Prefoldin subunit]	338	2002
1576404at2759	consensus disorder prediction	309	1326
1588798at2759	consensus disorder prediction	196	996
1617752at2759	Archaeal transcription elongation factor Spt4 [PFAM:Spt4/RpoE2 zinc finger]	308	2079
1623701at2759	TMEM85/ER membrane protein complex subunit 4 [PFAM:Protein of unknown function (DUF1077)]	209	742
1645187at2759	PDCD5-like [PFAM:Double-stranded DNA-binding domain]	518	1510
176625at2759	consensus disorder prediction	206	1128
257318at2759	P-loop containing nucleoside triphosphate hydrolase [PFAM:DEAD/DEAH box helicase;Helicase conserved C-terminal domain]	616	4082
296129at2759	consensus disorder prediction	433	3563
320059at2759	Radical SAM [PFAM:HemN C-terminal domain;Radical SAM superfamily]	2758	21187
383503at2759	consensus disorder prediction	333	1457
426305at2759	consensus disorder prediction	334	1285
543764at2759	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 [PFAM:Gcd10p family]	315	1838
582756at2759	RFT1 [PFAM:Rft protein]	410	1229
625387at2759	TRAPP III complex, Trs85 [PFAM:ER-Golgi trafficking TRAPP I complex 85 kDa subunit]	368	2045
674160at2759	consensus disorder prediction	342	1481
692986at2759	consensus disorder prediction	494	2869
734666at2759	consensus disorder prediction	311	2033
736068at2759	Metallo-dependent phosphatase-like [PFAM:Calcineurin-like phosphoesterase]	464	4031
777920at2759	consensus disorder prediction	237	1032
834694at2759	Metallo-dependent phosphatase-like [PFAM:Calcineurin-like phosphoesterase]	4453	11427
855834at2759	RNA polymerase I specific transcription initiation factor RRN3 [PFAM:RNA polymerase I specific transcription initiation factor RRN3]	380	1248
869548at2759	consensus disorder prediction	327	2082
923657at2759	Surfeit locus 1/Shy1 [PFAM:SURF1 family]	3249	5699
939345at2759	Repressor of RNA polymerase III transcription Maf1 [PFAM:Maf1 regulator]	254	872
974865at2759	consensus disorder prediction	234	969
976469at2759	consensus disorder prediction	372	1476
ATPase	P-loop containing nucleoside triphosphate hydrolase	2600	26649
COG0013	Alanine-tRNA ligase, class IIc [PFAM:DHHA1 domain;Threonyl and Alanyl tRNA synthetase second additional domain;tRNA synthetases class II (A)]	4394	17470
COG0016	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL) [PFAM:Aminoacyl tRNA synthetase class II, N-terminal domain;tRNA synthetases class II core domain (F)]	3156	13972
COG0018	Arginine-tRNA ligase [PFAM:Arginyl tRNA synthetase N terminal domain;DALR anticodon binding domain;tRNA synthetases class I (R)]	7055	18543
COG0048	consensus disorder prediction	533	8707
COG0049	Small ribosomal subunit protein uS7 domain superfamily [PFAM:Ribosomal protein S7p/S5e]	1150	10362
COG0051	Small ribosomal subunit protein uS10 [PFAM:Ribosomal protein S10p/S20e]	855	8625
COG0052	Small ribosomal subunit protein uS2 [PFAM:Ribosomal protein S2]	4427	13675
COG0060	Isoleucine-tRNA ligase [PFAM:Anticodon-binding domain of tRNA ligase;Domain of unknown function (DUF5915);tRNA synthetases class I (I, L, M and V)]	2639	14625
COG0072	Ferrodoxin-fold anticodon-binding domain [PFAM:B3/4 domain;Ferredoxin-fold anticodon binding domain;Phenylalanyl tRNA synthetase beta chain CLM domain;Putative tRNA binding domain;tRNA synthetase B5 domain]	3182	21505
COG0080	Ribosomal protein uL11 [PFAM:Ribosomal protein L11, N-terminal domain;Ribosomal protein L11, RNA binding domain]	1224	9301
COG0081	Ribosomal protein uL1/ribosomal biogenesis protein [PFAM:Ribosomal protein L1p/L10e family]	2542	11385
COG0085	consensus disorder prediction	943	17378
COG0086	consensus disorder prediction	994	18668
COG0087	Large ribosomal subunit protein uL3, bacterial/organelle-type [PFAM:Ribosomal protein L3]	3823	12536
COG0088	Large ribosomal subunit protein uL4-like [PFAM:Ribosomal protein L4/L1 family]	5490	14292
COG0089	Large ribosomal subunit protein uL23-like [PFAM:Ribosomal protein L23]	5621	13164
COG0090	Large ribosomal subunit protein uL2 [PFAM:Ribosomal Proteins L2, C-terminal domain;Ribosomal Proteins L2, RNA binding domain]	1556	10038
COG0091	Ribosomal protein uL22 superfamily [PFAM:Ribosomal protein L22p/L17e]	2217	13003
COG0092	K Homology domain, type 2 [PFAM:KH domain;Ribosomal protein S3, C-terminal domain]	876	10265
COG0093	Large ribosomal subunit protein uL14 [PFAM:Ribosomal protein L14p/L23e]	817	8322
COG0094	Large ribosomal subunit protein uL5 domain superfamily [PFAM:Ribosomal protein L5;ribosomal L5P family C-terminus]	1572	10646
COG0096	Small ribosomal subunit protein uS8 [PFAM:Ribosomal protein S8]	4546	12123
COG0097	Large ribosomal subunit protein uL6, bacterial-type [PFAM:Ribosomal protein L6]	3740	13902
COG0098	Small ribosomal subunit protein uS5, N-terminal [PFAM:Ribosomal protein S5, C-terminal domain;Ribosomal protein S5, N-terminal domain]	2115	10730
COG0099	Small ribosomal subunit protein uS13 [PFAM:Ribosomal protein S13/S18]	1963	9719
COG0100	Small ribosomal subunit protein uS11 [PFAM:Ribosomal protein S11]	1734	9801
COG0102	Large ribosomal subunit protein uL13 [PFAM:Ribosomal protein L13]	4701	13218
COG0103	Small ribosomal subunit protein uS9 [PFAM:Ribosomal protein S9/S16]	3883	12513
COG0127	RdgB/HAM1 [PFAM:Ham1 family]	8608	17789
COG0130	tRNA pseudouridine synthase II, TruB [PFAM:TruB family pseudouridylate synthase (N terminal domain);tRNA pseudouridylate synthase B C-terminal domain]	5925	18804
COG0164	Ribonuclease HII/HIII domain [PFAM:Ribonuclease HII]	5926	16878
COG0172	Serine-tRNA ligase, type1 [PFAM:Seryl-tRNA synthetase N-terminal domain;tRNA synthetase class II core domain (G, H, P, S and T)]	3828	14310
COG0184	Small ribosomal subunit protein uS15 [PFAM:Ribosomal protein S15]	2170	11818
COG0185	Small ribosomal subunit protein uS19 [PFAM:Ribosomal protein S19]	1218	8478
COG0186	Small ribosomal subunit protein uS17 [PFAM:Ribosomal protein S17]	4185	11963
COG0193	Peptidyl-tRNA hydrolase [PFAM:Peptidyl-tRNA hydrolase]	9756	17749
COG0197	Large ribosomal subunit protein uL16, bacterial-type [PFAM:Ribosomal protein L16p/L10e]	1102	9532
COG0198	Large ribosomal subunit protein uL24 [PFAM:KOW motif;Ribosomal proteins 50S L24/mitochondrial 39S L24]	3904	12851
COG0200	Large ribosomal subunit protein uL15, bacterial-type [PFAM:Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A]	4416	13910
COG0201	SecY/SEC61-alpha family [PFAM:SecY]	2813	11668
COG0202	RNA polymerase, RBP11-like subunit [PFAM:Bacterial RNA polymerase, alpha chain C terminal domain;RNA polymerase Rpb3/Rpb11 dimerisation domain;RNA polymerase Rpb3/RpoA insert domain]	602	12452
COG0216	Peptide chain release factor [PFAM:PCRF domain;RF-1 domain]	1358	10771
COG0233	Ribosome recycling factor [PFAM:Ribosome recycling factor]	3749	12290
COG0244	Large ribosomal subunit protein uL10-like domain superfamily [PFAM:Ribosomal protein L10]	3469	15997
COG0255	Large ribosomal subunit protein uL29 [PFAM:Ribosomal L29 protein]	6672	14014
COG0256	Large ribosomal subunit protein uL18 [PFAM:Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast]	2710	13615
COG0343	tRNA-guanine(15) transglycosylase-like [PFAM:Queuine tRNA-ribosyltransferase]	2082	14630
COG0481	Translational (tr)-type GTP-binding domain [PFAM:Elongation factor G C-terminus;Elongation factor Tu GTP binding domain;Elongation factor Tu domain 2;GTP-binding protein LepA C-terminus]	642	10311
COG0495	Leucine-tRNA ligase [PFAM:Anticodon-binding domain of tRNA ligase;Leucyl-tRNA synthetase, editing domain;tRNA synthetases class I (I, L, M and V);tRNA synthetases class I (M)]	2307	14133
COG0504	CTP synthase [PFAM:CTP synthase N-terminus;Glutamine amidotransferase class-I]	1155	11280
COG0519	GMP synthase, C-terminal [PFAM:GMP synthase C terminal domain;Glutamine amidotransferase class-I;NAD synthase]	1037	9973
COG0532	Translation initiation factor IF-2, bacterial-like [PFAM:Elongation factor Tu GTP binding domain;Translation initiation factor IF-2, N-terminal region;Translation-initiation factor 2]	1997	18241
COG0533	Kae1/TsaD family [PFAM:tRNA N6-adenosine threonylcarbamoyltransferase]	6032	15769
COG0541	Signal recognition particle, SRP54 subunit, GTPase domain [PFAM:SRP54-type protein, GTPase domain;SRP54-type protein, helical bundle domain;Signal peptide binding domain]	1746	10174
COG0691	SsrA-binding protein [PFAM:SmpB protein]	4175	11707
COG0858	Ribosome-binding factor A [PFAM:Ribosome-binding factor A]	7752	15991
GENOMAD.000023.VV	consensus disorder prediction	1115	4813
GENOMAD.000026.VV	consensus disorder prediction	103	2025
GENOMAD.000172.VV	RNA-directed RNA polymerase beta-chain [PFAM:RNA replicase, beta-chain]	3	7
GENOMAD.000217.VV	Assembly protein [PFAM:Phage maturation protein]	7	7
GENOMAD.000254.VV	consensus disorder prediction	125	945
GENOMAD.000616.VV	Icosahedral viral capsid protein, S domain [PFAM:Viral coat protein (S domain)]	86	285
GENOMAD.000979.VV	consensus disorder prediction	141	1017
GENOMAD.001596.VV	Bacteriophage RNA-type, capsid [PFAM:Levivirus coat protein]	5	34
GENOMAD.001683.VV	SaV-like [PFAM:Protein of unknwon function (DUF3310)]	140	647
GENOMAD.006053.VV	consensus disorder prediction	146	1534
GENOMAD.008072.VV	IraD/Gp25-like [PFAM:Baseplate wedge protein gp25]	734	1882
GENOMAD.016854.VV	Metallo-dependent phosphatase-like [PFAM:Calcineurin-like phosphoesterase]	40	149
GENOMAD.020215.VV	Coil	69	1021
GENOMAD.020681.VV	consensus disorder prediction	76	505
GENOMAD.029205.VV	P-loop containing nucleoside triphosphate hydrolase [PFAM:Guanylate kinase]	1010	14045
GENOMAD.051630.VV	IraD/Gp25-like [PFAM:Baseplate wedge protein gp25]	894	3496
GENOMAD.057391.VV	consensus disorder prediction	86	773
GENOMAD.066074.VV	consensus disorder prediction	36	415
GENOMAD.090963.VV	Baseplate protein J-like [PFAM:Baseplate J-like protein]	254	697
GENOMAD.132751.VV	HNH nuclease [PFAM:HNH endonuclease]	821	5835
GVOGm0003	Group II dsDNA virus coat/capsid protein [PFAM:Large eukaryotic DNA virus major capsid protein;Major capsid protein N-terminus]	3115	5786
GVOGm0013	P-loop containing nucleoside triphosphate hydrolase [PFAM:Type III restriction enzyme, res subunit]	1156	2752
GVOGm0022	consensus disorder prediction	1336	18025
GVOGm0023	consensus disorder prediction	387	4205
GVOGm0054	DNA-directed DNA polymerase, family B [PFAM:DNA polymerase family B;DNA polymerase family B, exonuclease domain]	2321	4944
GVOGm0172	Transcription factor TFIIB [PFAM:Transcription factor TFIIB repeat]	817	3246
GVOGm0461	DNA topoisomerase II, eukaryotic-type [PFAM:C-terminal associated domain of TOPRIM;DNA gyrase B;DNA gyrase/topoisomerase IV, subunit A;Toprim domain]	666	2413
GVOGm0760	P-loop containing nucleoside triphosphate hydrolase	409	1087
GVOGm0890	Poxvirus VLTF3, late transcription factor [PFAM:Poxvirus Late Transcription Factor VLTF3 like]	1235	1318
HUH	consensus disorder prediction	67	354
HUHlong	consensus disorder prediction	12	36
Mirus_JellyRoll	consensus disorder prediction	116	135
Mirus_MCP	consensus disorder prediction	334	404
Mirus_Portal	consensus disorder prediction	496	542
Mirus_Terminase_ATPase	P-loop containing nucleoside triphosphate hydrolase	298	416
Mirus_Terminase_merged	P-loop containing nucleoside triphosphate hydrolase	391	1327
Mirus_Triplex1	consensus disorder prediction	561	607
Mirus_Triplex2	consensus disorder prediction	137	201
OG1	S-adenosyl-L-methionine-dependent methyltransferase superfamily [PFAM:mRNA (guanine-N(7))-methyltransferase domain;mRNA capping enzyme, catalytic domain]	371	1517
OG100	ERV/ALR sulfhydryl oxidase domain superfamily [PFAM:Erv1 / Alr family]	52	102
OG1003	CYTH domain [PFAM:CYTH domain]	3	4
OG10045	consensus disorder prediction	6	7
OG10048	CYTH-like domain superfamily	2	3
OG10083	C-type lectin-like/link domain superfamily [PFAM:Lectin C-type domain]	6	14
OG10108	Poxvirus F16 [PFAM:Poxvirus F16 protein]	17	17
OG10114	P-loop containing nucleoside triphosphate hydrolase	13	18
OG10118	Protein of unknown function DUF5762 [PFAM:Family of unknown function (DUF5762)]	10	10
OG10128	SWIB/MDM2 domain [PFAM:SWIB/MDM2 domain]	1	1
OG1016	High mobility group box domain [PFAM:HMG (high mobility group) box]	85	113
OG10161	Vaccinia virus, A37 [PFAM:Protein of unknown function (DUF1235)]	14	14
OG10163	Chordopoxvirus fusion protein/multifunctional envelope protein A27 [PFAM:Chordopoxvirus multifunctional envelope protein A27]	17	17
OG10237	Holliday junction resolvase, A22 [PFAM:Poxvirus A22 protein]	8	13
OG1026	RNA polymerase Rpb7-like, N-terminal domain superfamily	45	151
OG10300	GIY-YIG endonuclease superfamily	7	14
OG1035	Protein-tyrosine phosphatase-like [PFAM:Dual specificity phosphatase, catalytic domain]	39	140
OG10384	Cyclin-like superfamily	2	6
OG10400	RNA polymerase, RBP11-like subunit	11	21
OG10456	consensus disorder prediction	1	1
OG105	Peptidase C14, caspase domain [PFAM:Caspase domain]	18	24
OG10505	Poxvirus A51 [PFAM:Poxvirus A51 protein]	15	15
OG1055	Protein of unknown function DUF5757 [PFAM:Family of unknown function (DUF5757)]	13	14
OG1056	Rhodanese-like domain superfamily [PFAM:Rhodanese-like domain]	23	44
OG1063	Thioredoxin domain [PFAM:Thioredoxin]	26	38
OG10656	Protein kinase-like domain superfamily	17	20
OG10712	Group II dsDNA virus coat/capsid protein [PFAM:Large eukaryotic DNA virus major capsid protein;Major capsid protein N-terminus]	14	15
OG10739	P-loop containing nucleoside triphosphate hydrolase [PFAM:ATPase family associated with various cellular activities (AAA)]	11	13
OG10854	consensus disorder prediction	2	2
OG1086	ERV/ALR sulfhydryl oxidase domain [PFAM:Erv1 / Alr family]	7	8
OG1094	consensus disorder prediction	2	2
OG1098	consensus disorder prediction	34	55
OG11076	consensus disorder prediction	1	1
OG11094	DNA ligase/mRNA capping enzyme	8	9
OG11096	P-loop containing nucleoside triphosphate hydrolase	11	12
OG11118	Poxvirus A31 [PFAM:Poxvirus A31 protein]	13	13
OG11119	Coil	7	15
OG11136	Coil	2	2
OG11137	Zinc finger, RING-type [PFAM:Ring finger domain]	15	17
OG11158	YbiA-like superfamily	10	13
OG11185	Coil	2	2
OG11191	Chordopoxvirus A33R [PFAM:Chordopoxvirus A33R protein]	7	15
OG11231	Glycoside hydrolase, family 7 [PFAM:Glycosyl hydrolase family 7]	50	118
OG1140	Macro domain-like [PFAM:Microbial-type PARG, catalytic domain]	2	2
OG1141	Histone H2A [PFAM:Core histone H2A/H2B/H3/H4]	5	11
OG1148	Cold-shock protein, DNA-binding [PFAM:'Cold-shock' DNA-binding domain;2OG-Fe(II) oxygenase superfamily]	3	6
OG11508	Coil	6	10
OG11565	Alpha/Beta hydrolase fold [PFAM:Carboxylesterase family]	4	4
OG11577	RNA ligase domain, REL/Rln2 [PFAM:RNA ligase]	2	2
OG1162	Pectin lyase fold/virulence factor	1	1
OG1164	P-loop containing nucleoside triphosphate hydrolase [PFAM:Helicase conserved C-terminal domain;SNF2-related domain;Zinc finger, C3HC4 type (RING finger)]	57	187
OG1168	Glycosyltransferase, DXD sugar-binding motif [PFAM:Glycosyltransferase sugar-binding region containing DXD motif]	2	2
OG118	Protein of unknown function DUF5759 [PFAM:Family of unknown function (DUF5759)]	109	110
OG1180	consensus disorder prediction	4	6
OG1181	HAD-like superfamily [PFAM:haloacid dehalogenase-like hydrolase]	5	18
OG11810	FAD/NAD(P)-binding domain superfamily [PFAM:NAD(P)-binding Rossmann-like domain]	3	3
OG11828	Coil	1	2
OG1188	Exonuclease, RNase T/DNA polymerase III [PFAM:Exonuclease]	28	49
OG1190	mRNA (guanine-N(7))-methyltransferase domain [PFAM:mRNA (guanine-N(7))-methyltransferase domain]	6	16
OG1193	Protein of unknown function DUF3592 [PFAM:Protein of unknown function (DUF3592)]	7	7
OG11979	consensus disorder prediction	5	6
OG12	Poly(A) polymerase catalytic subunit [PFAM:Poly(A) polymerase catalytic subunit]	675	718
OG12001	consensus disorder prediction	7	10
OG12009	consensus disorder prediction	8	9
OG12014	consensus disorder prediction	5	7
OG12039	consensus disorder prediction	8	10
OG1204	FAS1 domain [PFAM:Fasciclin domain]	300	556
OG12078	consensus disorder prediction	9	11
OG12167	Protein kinase domain	4	6
OG12169	Coil	1	1
OG1217	consensus disorder prediction	6	7
OG12262	P-loop containing nucleoside triphosphate hydrolase [PFAM:D5 N terminal like]	3	7
OG12268	Coil	2	5
OG12273	Nucleic acid-binding, OB-fold [PFAM:ATP dependent DNA ligase domain;DNA ligase OB-like domain]	6	14
OG12280	P-loop containing nucleoside triphosphate hydrolase	3	3
OG12286	RNA polymerase Rpb5, N-terminal domain superfamily	4	9
OG12290	Protein kinase-like domain superfamily	1	2
OG12291	P-loop containing nucleoside triphosphate hydrolase [PFAM:Type III restriction enzyme, res subunit]	13	13
OG12295	TBP domain superfamily	8	13
OG1230	Coil	2	2
OG1232	Protein of unknown function DUF5770 [PFAM:Family of unknown function (DUF5770)]	67	68
OG12328	Protein of unknown function DUF5832 [PFAM:Family of unknown function (DUF5832)]	1	2
OG12342	Protein of unknown function DUF5760 [PFAM:Family of unknown function (DUF5760)]	7	12
OG1236	HD/PDEase domain	2	3
OG12376	consensus disorder prediction	1	1
OG12379	Zinc finger C2H2 superfamily	5	13
OG12381	SAP domain	5	20
OG1242	P-loop containing nucleoside triphosphate hydrolase	12	13
OG12451	Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain [PFAM:2OG-Fe(II) oxygenase superfamily;non-haem dioxygenase in morphine synthesis N-terminal]	1	2
OG12501	consensus disorder prediction	6	7
OG12503	Coil	5	9
OG12507	consensus disorder prediction	11	12
OG12528	consensus disorder prediction	7	10
OG1261	Glycosyltransferase, GlcNAc [PFAM:Glycosyltransferase (GlcNAc)]	4	7
OG1276	consensus disorder prediction	3	3
OG12765	Protein of unknown function DUF5859 [PFAM:Family of unknown function (DUF5859)]	4	4
OG12819	Coil	1	1
OG12838	Peptidase C54 [PFAM:Peptidase family C54]	47	186
OG12845	Thioredoxin domain [PFAM:Thioredoxin]	20	39
OG12855	Glycosyl hydrolase, five-bladed beta-propellor domain superfamily	5	5
OG12877	Integrase, catalytic core [PFAM:Integrase core domain]	14	19
OG12906	Band 7 domain [PFAM:SPFH domain / Band 7 family]	3	3
OG1291	SKP1/BTB/POZ domain superfamily [PFAM:Skp1 family, dimerisation domain;Skp1 family, tetramerisation domain]	6	8
OG13050	Coil	1	1
OG1315	Inositol oxygenase [PFAM:Myo-inositol oxygenase]	20	21
OG13213	P-loop containing nucleoside triphosphate hydrolase	4	4
OG13285	consensus disorder prediction	10	10
OG133	Hint domain superfamily	3	3
OG1337	Protein of unknown function DUF5767 [PFAM:Family of unknown function (DUF5767)]	7	7
OG1340	consensus disorder prediction	24	24
OG13412	HAD superfamily [PFAM:HAD superfamily, subfamily IIIB (Acid phosphatase)]	2	4
OG13441	Poxvirus VLTF3, late transcription factor [PFAM:Poxvirus Late Transcription Factor VLTF3 like]	8	10
OG13453	Zinc finger, RING-type [PFAM:Zinc finger, C3HC4 type (RING finger)]	8	19
OG13494	consensus disorder prediction	4	4
OG1352	Group II dsDNA virus coat/capsid protein [PFAM:Large eukaryotic DNA virus major capsid protein;Major capsid protein N-terminus]	34	88
OG13528	consensus disorder prediction	9	12
OG13622	P-loop containing nucleoside triphosphate hydrolase	7	11
OG1363	Cysteine desulfurase [PFAM:Aminotransferase class-V]	22	77
OG13795	P-loop containing nucleoside triphosphate hydrolase [PFAM:Type III restriction enzyme, res subunit]	53	63
OG138	Dual specificity protein phosphatase domain [PFAM:Dual specificity phosphatase, catalytic domain]	3	4
OG13842	RNA polymerase subunit RPB10 [PFAM:RNA polymerases N / 8 kDa subunit]	6	9
OG13852	DNA polymerase family X [PFAM:DNA polymerase beta thumb]	1	2
OG1395	P-loop containing nucleoside triphosphate hydrolase [PFAM:Helicase conserved C-terminal domain]	13	39
OG13973	Rieske iron-sulphur protein, C-terminal [PFAM:Rieske [2Fe-2S] domain]	2	4
OG14007	consensus disorder prediction	3	4
OG14038	consensus disorder prediction	2	2
OG14040	consensus disorder prediction	1	1
OG14090	Guanylate kinase/L-type calcium channel beta subunit [PFAM:Guanylate kinase]	5	7
OG14112	consensus disorder prediction	40	247
OG1425	Nucleic acid-binding, OB-fold [PFAM:mRNA capping enzyme, C-terminal domain]	2	13
OG1426	consensus disorder prediction	24	24
OG14292	Telomere resolvase ResT, catalytic domain superfamily [PFAM:Telomere resolvase]	5	8
OG1435	Coil	15	17
OG14449	P-loop containing nucleoside triphosphate hydrolase [PFAM:Type III restriction enzyme, res subunit]	13	15
OG14490	DnaJ domain [PFAM:DnaJ domain]	2	2
OG1462	consensus disorder prediction	2	2
OG14641	consensus disorder prediction	2	3
OG14663	consensus disorder prediction	3	4
OG14665	Coil	2	3
OG14694	consensus disorder prediction	6	7
OG14757	Coil	1	1
OG14873	Prokaryotic membrane lipoprotein lipid attachment site profile.	2	2
OG1490	consensus disorder prediction	5	6
OG14963	Coil	3	3
OG15223	Coil	3	4
OG15228	ERV/ALR sulfhydryl oxidase domain [PFAM:Erv1 / Alr family]	1	2
OG15240	WD40/YVTN repeat-like-containing domain superfamily [PFAM:Domain of unknown function (DUF4347)]	1	1
OG15292	PCIF1, WW domain [PFAM:Phosphorylated CTD interacting factor 1 WW domain]	2	5
OG153	GMP reductase [PFAM:IMP dehydrogenase / GMP reductase domain]	5	27
OG15309	consensus disorder prediction	1	1
OG1537	consensus disorder prediction	21	25
OG15370	consensus disorder prediction	5	5
OG15486	consensus disorder prediction	9	12
OG15520	Isopenicillin N synthase-like superfamily	69	146
OG15564	consensus disorder prediction	5	5
OG1561	S-adenosyl-L-methionine-dependent methyltransferase superfamily [PFAM:Methyltransferase domain]	4	4
OG15668	P-loop containing nucleoside triphosphate hydrolase [PFAM:Origin of replication binding protein]	4	10
OG1580	Fructose-1,6-bisphosphatase [PFAM:Fructose-1-6-bisphosphatase, C-terminal domain;Fructose-1-6-bisphosphatase, N-terminal domain]	111	235
OG15845	Adenosylhomocysteinase-like [PFAM:S-adenosyl-L-homocysteine hydrolase;S-adenosyl-L-homocysteine hydrolase, NAD binding domain]	1	1
OG1589	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	19	33
